el,f11,f12,f13,f21,f22,f23
21419, -0.436131, 0.675316, -0.594759, -0.300304, 0.495627, 0.814967
21420, -0.494285, 0.190302, -0.848214, 0.777037, -0.343989, -0.527147
21421, 0.497377, -0.142393, 0.855769, -0.459343, -0.879803, 0.122278
21422, -0.644278, 0.726099, 0.240180, -0.763512, -0.615156, -0.196552
21423, -0.310575, 0.853608, -0.418206, 0.623484, 0.506158, 0.595879
21424, -0.490271, 0.196766, -0.849069, 0.778109, -0.341259, -0.527341
21425, -0.301119, -0.952634, 0.042625, 0.072872, -0.067558, -0.995051
21426, -0.415412, 0.860389, -0.295235, 0.066142, 0.356142, 0.932088
21427, -0.451785, 0.839974, -0.300555, 0.107698, 0.360326, 0.926588
21428, -0.787235, 0.033807, -0.615726, 0.507102, -0.535337, -0.675471
21429, -0.245424, 0.885788, -0.393887, 0.562798, 0.451841, 0.692169
21430, -0.767458, 0.259579, -0.586198, 0.349588, -0.611471, -0.709853
21431, 0.176207, 0.983428, -0.042658, -0.321638, 0.096975, 0.941884
21432, -0.437525, 0.835534, -0.332348, 0.032224, 0.389076, 0.920642
21433, -0.935558, 0.353164, 0.002406, -0.347028, -0.935627, -0.064601
21434, 0.585538, -0.810564, -0.011460, 0.783363, 0.559531, 0.270680
21435, 0.177235, 0.938609, -0.295974, 0.005223, 0.304438, 0.952518
21436, 0.400641, -0.127234, 0.907358, -0.426523, -0.902542, 0.059131
21437, -0.196088, 0.972774, 0.123531, -0.616613, 0.118799, 0.778252
21438, 0.514240, 0.322713, 0.794615, 0.637421, -0.768529, -0.055300
21439, 0.468000, 0.575454, -0.670693, -0.628567, 0.743672, 0.227718
21440, -0.648466, 0.099104, -0.754765, 0.661876, -0.420792, -0.620367
21441, 0.426335, -0.736951, -0.524539, 0.493805, 0.675463, -0.547637
21442, -0.572195, 0.801820, 0.172272, -0.705665, -0.381375, -0.597151
21443, -0.759876, 0.417453, 0.498319, -0.434616, 0.243813, -0.866985
21444, -0.039924, 0.762552, 0.645694, -0.357730, 0.592467, -0.721812
21445, -0.335977, 0.657978, 0.673932, -0.353201, 0.575294, -0.737758
21446, -0.122842, 0.650452, 0.749548, -0.311756, 0.691743, -0.651383
21447, 0.305587, 0.601551, 0.738073, 0.012754, 0.772498, -0.634889
21448, -0.368808, 0.661888, 0.652599, -0.219485, 0.620225, -0.753092
21449, -0.246526, 0.754455, 0.608295, -0.018420, 0.623906, -0.781282
21450, -0.444493, 0.860905, 0.247525, -0.761225, -0.231184, -0.605880
21451, -0.007454, 0.764818, 0.644204, 0.012924, 0.644242, -0.764713
21452, -0.346080, 0.688256, 0.637599, -0.127417, 0.638818, -0.758733
21453, -0.438303, 0.674905, 0.593627, -0.097026, 0.621061, -0.777733
21454, -0.516592, 0.825834, 0.226122, -0.737677, -0.299903, -0.604889
21455, -0.585741, 0.482862, 0.650962, -0.409834, 0.516462, -0.751867
